year,month,month_label,avg_daily_price,avg_daily_range,avg_total_steps,avg_quarter_row_share,avg_stress_score_core,avg_stress_score_extended,n_days
2024,10,Oct,69.37361559139785,90.99903225806452,1799.1370967741934,0,0.30647328075003355,0.2771351900630178,31
2024,11,Nov,104.59656944444444,72.017,1798.0375,0,0.3183237275193591,0.2874896426489141,30
2024,12,Dec,111.53599462365591,67.31967741935483,1775.8440860215053,0,0.31847284636586154,0.2873236635586074,31
2025,1,Jan,96.73145161290323,81.86322580645161,1799.2916666666667,0,0.328745146599954,0.29665873956611355,31
2025,2,Feb,108.21598214285714,119.97678571428571,1901.3377976190477,0,0.43702730626565306,0.3931815808173115,28
2025,3,Mar,52.53158719027583,100.35677419354839,1879.9862085086488,0,0.3000656055761964,0.2726084510996748,31
2025,4,Apr,25.906430555555556,82.93433333333333,1879.9097222222222,0,0.21997775572759845,0.20253056078365503,30
2025,5,May,25.793817204301074,59.34451612903226,1839.497311827957,0,0.16596037914523395,0.1547255301055873,31
2025,6,Jun,74.17316666666667,121.13066666666667,2100.075,0,0.3816586597611721,0.3469770265095,30
2025,7,Jul,70.1033870967742,99.15806451612903,2192.0887096774195,0,0.32623845352925335,0.29967873657125144,31
2025,8,Aug,68.67584677419354,111.04806451612903,2068.3064516129034,0,0.35113981724039744,0.3198139550208552,31
2025,9,Sep,61.18973611111111,121.64066666666666,2044.2666666666667,0,0.36113052503495613,0.3282694247872961,30
2025,10,Oct,79.55088888888889,23.41133333333333,8119.272222222222,1,0.16815545282412447,0.2405295811958513,30
2025,11,Nov,52.40668103448276,27.45551724137931,8339.211206896553,1,0.13486499541493993,0.21387456256754492,29
2025,12,Dec,66.48381720430108,27.518064516129034,8208.690860215054,1,0.1570587620882051,0.23187135087289146,31
2026,1,Jan,59.69944892473118,25.718064516129033,8389.380376344086,1,0.1427916968123592,0.22100418032921154,31
2026,2,Feb,5.760535714285714,8.315357142857142,7721.729166666667,1,0.021830799892681888,0.1071865924325711,28
2026,3,Mar,54.21898148148148,29.263333333333335,8762.916666666666,1,0.14182998491625942,0.2221703170299831,9
