date,year,month,avg_price_spain_eur_mwh,min_price_spain_eur_mwh,max_price_spain_eur_mwh,daily_price_range,avg_total_matched_volume,avg_buy_sell_volume_gap,avg_total_steps,avg_total_steps_from_sides,avg_quarter_row_share,n_high_price_hours,n_low_price_hours,z_avg_price,z_daily_range,z_high_price_hours,z_steps,score_core,score_extended,score_base,score_no_steps,score_price_range_only,score_price_only,score_range_only,internal_stress_event
2022-09-27,2022,9,100.15875,21.01,164,142.99,52956.21666666667,0,1531.8333333333333,1531.8333333333333,0,0,0,0.386348511525705,0.7970505918501842,0,0.0540044431816253,0.4733596413503557,0.41959013049972377,0.41959013049972377,0.4733596413503557,0.5916995516879446,0.386348511525705,0.7970505918501842,TRUE
2022-09-28,2022,9,108.6225,36.18,203.74,167.56,52585.475,0,1526,1526,0,1,0,0.41949343404029066,0.9372459066905173,0.041666666666666664,0.05322523057040315,0.5510290696256566,0.48851462564615644,0.48851462564615644,0.5510290696256566,0.678369670365404,0.41949343404029066,0.9372459066905173,TRUE
2022-09-30,2022,9,118.38958333333333,80,218,138,51113.316666666666,0,1542.6666666666667,1542.6666666666667,0,1,0,0.4577423450167295,0.7685778763006009,0.041666666666666664,0.055451552316752195,0.49886142186026555,0.4430905660260742,0.4430905660260742,0.49886142186026555,0.6131601106586653,0.4577423450167295,0.7685778763006009,TRUE
2022-10-01,2022,10,116.085,72.72,218.65,145.93,45884.166666666664,0,1564.5833333333333,1564.5833333333333,0,1,0,0.44871735774610605,0.8138260996088565,0.041666666666666664,0.058379165413201164,0.5133507162753184,0.45606145994889036,0.45606145994889036,0.5133507162753184,0.6312717286774813,0.44871735774610605,0.8138260996088565,TRUE
2022-10-02,2022,10,145.00458333333333,88,232.99,144.99,41963.85,-1.5158245029548803e-13,1509.1666666666667,1509.1666666666667,0,2,0,0.5619694444378722,0.8084625018900974,0.08333333333333333,0.05097664560659062,0.5648394451978546,0.501415512442115,0.501415512442115,0.5648394451978546,0.6852159731639849,0.5619694444378722,0.8084625018900974,TRUE
2022-10-06,2022,10,113.10583333333334,75,220,145,52896.958333333336,1.5158245029548803e-13,1662,1662,0,2,0,0.43705063220190843,0.8085195614402969,0.08333333333333333,0.07139201602061132,0.5148947441235489,0.4597554360434996,0.4597554360434996,0.5148947441235489,0.6227850968211026,0.43705063220190843,0.8085195614402969,TRUE
2022-10-09,2022,10,115.665,75.44,214.83,139.39000000000001,42683.333333333336,-1.5158245029548803e-13,1557.75,1557.75,0,1,0,0.4470725942008542,0.7765091537783406,0.041666666666666664,0.05746637349719807,0.49776603252501134,0.4423335824757713,0.4423335824757713,0.49776603252501134,0.6117908739895974,0.4470725942008542,0.7765091537783406,TRUE
2022-10-23,2022,10,72.83583333333333,4.11,138.22,134.10999999999999,44619.625,0,1409.5416666666667,1409.5416666666667,0,0,0,0.27934913704168224,0.7463817112729697,0,0.03766880736778923,0.4102923393258608,0.36277267764690707,0.36277267764690707,0.4102923393258608,0.5128654241573259,0.27934913704168224,0.7463817112729697,TRUE
2022-10-31,2022,10,164.07291666666666,114.6,250,135.4,40575.575,-7.579122514774402e-14,1443.2916666666667,1443.2916666666667,0,4,0,0.6366430147602027,0.7537423932487138,0.16666666666666666,0.042177108904146034,0.5894874965369,0.5241859370268687,0.5241859370268687,0.5894874965369,0.6951927040044583,0.6366430147602027,0.7537423932487138,TRUE
2022-11-23,2022,11,90.53416666666666,4.11,160,155.89,53023.975,1.5158245029548803e-13,1551.1666666666667,1551.1666666666667,0,0,0,0.34865764532354804,0.870657411607624,0,0.05658697640739021,0.48772602277246885,0.4324189675666492,0.4324189675666492,0.48772602277246885,0.6096575284655861,0.34865764532354804,0.870657411607624,TRUE
2022-12-13,2022,12,97.68583333333333,4.11,147,142.89,55271.50833333333,-1.5158245029548803e-13,1508.5833333333333,1508.5833333333333,0,0,0,0.3766643134690878,0.7964799963481884,0,0.05089872434546838,0.4692577239269105,0.4156903808705935,0.4156903808705935,0.4692577239269105,0.5865721549086381,0.3766643134690878,0.7964799963481884,TRUE
2022-12-14,2022,12,81.38333333333334,1.8,192.69,190.89,50326.88333333333,0,1558.4166666666667,1558.4166666666667,0,0,1,0.31282203323939856,1,0,0.05755542636705204,0.5251288132957594,0.4652432542704946,0.4652432542704946,0.5251288132957594,0.6564110166196993,0.31282203323939856,1,TRUE
2022-12-26,2022,12,77.32333333333334,24.1,189.26,165.16,44487.75,-1.5158245029548803e-13,1471.25,1471.25,0,0,0,0.29692265230196324,0.9235516146426215,0,0.045911763633646546,0.4881897067778339,0.4317571697939693,0.4317571697939693,0.4881897067778339,0.6102371334722924,0.29692265230196324,0.9235516146426215,TRUE
2023-01-02,2023,1,110.0825,42,174.74,132.74,39345.01666666667,0,1408.2083333333333,1408.2083333333333,0,0,0,0.42521094541188065,0.7385645528956294,0,0.03749070162808128,0.4655101993230041,0.41107049457043665,0.41107049457043665,0.4655101993230041,0.5818877491537551,0.42521094541188065,0.7385645528956294,TRUE
2023-01-09,2023,1,85.7825,4.2,171.62,167.42000000000002,58431.875,1.5158245029548803e-13,1588.875,1588.875,0,0,0,0.33004962600801935,0.93644707298772345,0,0.0616240293585049,0.5065986795982971,0.4494362475843604,0.4494362475843604,0.5065986795982971,0.6332483494978713,0.33004962600801935,0.93644707298772345,TRUE
2023-01-11,2023,1,83.83541666666666,4.16,139.02,134.86,48532.9,0,1649.625,1649.625,0,0,0,0.32242464580269964,0.7506611775379374,0,0.06973897212394715,0.4292343293362548,0.38255393538161764,0.38255393538161764,0.4292343293362548,0.5365429116703185,0.32242464580269964,0.7506611775379374,TRUE
2023-01-20,2023,1,91.2025,29.99,207.8,177.81,54251.816666666666,0,1557.5,1557.5,0,1,0,0.3512749079491275,0.9957319456450722,0.041666666666666664,0.05743297867100283,0.5471360747710132,0.48552902995840347,0.48552902995840347,0.5471360747710132,0.6735034267970998,0.3512749079491275,0.9957319456450722,TRUE
2023-01-24,2023,1,87.44791666666667,47.85,220,172.15,51026.60833333334,-1.5158245029548803e-13,1658.0416666666667,1658.0416666666667,0,2,0,0.33657157034370583,0.963436240232118,0.08333333333333333,0.07086326460585343,0.5366697908969963,0.4787557268287903,0.4787557268287903,0.5366697908969963,0.650003905287912,0.33657157034370583,0.963436240232118,TRUE
2023-01-25,2023,1,92.29916666666666,64.8,210.34,145.54000000000002,48221.13333333333,0,1670.75,1670.75,0,1,0,0.3555695683172853,0.8116007771510736,0.041666666666666664,0.07256083493744457,0.47520147152067693,0.42409903774100344,0.42409903774100344,0.47520147152067693,0.5835851727341794,0.3555695683172853,0.8116007771510736,TRUE
2023-01-29,2023,1,68.40791666666667,36.45,178.58,142.13,46207.60833333334,0,1538.0833333333333,1538.0833333333333,0,0,0,0.2620089562922852,0.7921434705330215,0,0.05483931383650619,0.4216609707301227,0.3744372807725079,0.3744372807725079,0.4216609707301227,0.5270762134126533,0.2620089562922852,0.7921434705330215,TRUE
2023-03-14,2023,3,64.41333333333333,2.36,179.84,177.48,52097.333333333336,0,1658.8333333333333,1658.8333333333333,0,0,1,0.24636575380386241,0.9938489804884865,0,0.07096901488880498,0.49608589371693956,0.4411720584912026,0.4411720584912026,0.49608589371693956,0.6201073671461744,0.24636575380386241,0.9938489804884865,TRUE
2023-03-27,2023,3,102.62875,49.25,187.6,138.35,49975.65,0,1713.875,1713.875,0,0,0,0.396021287613258,0.7705749605575857,0,0.07832144245612271,0.46663849926833745,0.41614083110540756,0.41614083110540756,0.46663849926833745,0.5832981240854218,0.396021287613258,0.7705749605575857,TRUE
2023-04-03,2023,4,62.399166666666666,19.2,165.33,146.13000000000002,47676.65,1.5158245029548803e-13,1643.0833333333333,1643.0833333333333,0,0,0,0.23847806831006502,0.814967290612848,0,0.06886514083850515,0.4213781435691652,0.37559238970687003,0.37559238970687003,0.4213781435691652,0.5267226794614566,0.23847806831006502,0.814967290612848,TRUE
2023-10-21,2023,10,61.240833333333335,10,200,190,46867.933333333334,0,1621.625,1621.625,0,0,0,0.23394191488169166,1,0,0.06599875159008077,0.4935767659526767,0.43847954536760014,0.43847954536760014,0.4935767659526767,0.6169709574408458,0.23394191488169166,1,TRUE
2023-11-06,2023,11,55.145833333333336,1.77,151.74,149.97,54682.35,-1.5158245029548803e-13,1600.8333333333333,1600.8333333333333,0,0,1,0.21007326295714293,0.8368781578894811,0,0.06322141521151033,0.41878056833864963,0.37275513881746936,0.37275513881746936,0.41878056833864963,0.523475710423312,0.21007326295714293,0.8368781578894811,TRUE
2024-02-20,2024,2,52.61291666666667,28.6,181,152.4,53042.666666666664,-1.5158245029548803e-13,1699.875,1699.875,0,0,0,0.2001540986797754,0.8507436285879756,0,0.07645133218918952,0.42035909090710044,0.3754593377626318,0.3754593377626318,0.42035909090710044,0.5254488636338754,0.2001540986797754,0.8507436285879756,TRUE
2024-03-12,2024,3,36.250416666666666,0.1,173.82,173.72,53451.225,1.5158245029548803e-13,1689.125,1689.125,0,0,7,0.13607685222933585,0.9723945896134498,0,0.07501535466279438,0.4433885767371143,0.39546654011125443,0.39546654011125443,0.4433885767371143,0.5542357209213928,0.13607685222933585,0.9723945896134498,TRUE
2024-03-13,2024,3,36.33833333333333,2.01,134.32,132.31,51157.78333333333,-1.5158245029548803e-13,1648.2083333333333,1648.2083333333333,0,0,6,0.13642114301112965,0.736110992237048,0,0.06954973477550748,0.3490128540992711,0.3123412208144129,0.3123412208144129,0.3490128540992711,0.4362660676240888,0.13642114301112965,0.736110992237048,TRUE
2024-06-04,2024,6,92.13708333333334,42,175.55,133.55,48222.03333333333,0,1862.75,1862.75,0,0,0,0.3549348331792863,0.7431863764617942,0,0.09820806145538552,0.4392484838564322,0.39416322951991667,0.39416322951991667,0.4392484838564322,0.5490606048205402,0.3549348331792863,0.7431863764617942,TRUE
2024-07-09,2024,7,72.07041666666666,8.3,141.94,133.64,51027.35,-1.5158245029548803e-13,1920.4583333333333,1920.4583333333333,0,0,0,0.2763516860172499,0.7436999124135901,0,0.10591670050211907,0.408020639372336,0.3676097295010059,0.3676097295010059,0.408020639372336,0.51002579921542,0.2763516860172499,0.7436999124135901,TRUE
